playerName,sal,pos,team,opp,proj
Christian Fischer,2500,W/UTIL,DET,WPG,2.61
Klim Kostin,2500,W/UTIL,DET,WPG,1.45
Matt Luff,2500,W/UTIL,DET,WPG,0.0
Carter Mazur,2500,W/UTIL,DET,WPG,0.0
Dylan Samberg,2500,D/UTIL,WPG,DET,1.77
Declan Chisholm,2500,D/UTIL,WPG,DET,0.0
Logan Stanley,2500,D/UTIL,WPG,DET,1.3
Ville Heinola,2500,D/UTIL,WPG,DET,0.0
Dmitri Voronkov,2500,C/UTIL,CLS,MON,0.0
Jake Evans,2500,C/UTIL,MON,CLS,4.68
Kirby Dach,2500,C/UTIL,MON,CLS,7.25
Christian Dvorak,2500,C/UTIL,MON,CLS,0.0
Mathieu Olivier,2500,W/UTIL,CLS,MON,2.6
Yegor Chinakhov,2500,W/UTIL,CLS,MON,0.0
Jesse Ylonen,2500,W/UTIL,MON,CLS,4.68
Michael Pezzetta,2500,W/UTIL,MON,CLS,3.08
Joel Armia,2500,W/UTIL,MON,CLS,0.0
Gustav Lindstrom,2500,D/UTIL,MON,CLS,4.1
Chris Wideman,2500,D/UTIL,MON,CLS,0.0
Casey Cizikas,2500,C/UTIL,NYI,OTT,3.72
Rourke Chartier,2500,C/UTIL,OTT,NYI,1.75
Matt Martin,2500,W/UTIL,NYI,OTT,2.42
Cal Clutterbuck,2500,W/UTIL,NYI,OTT,6.02
Daylan Kuefler,2500,W/UTIL,NYI,OTT,0.0
Julien Gauthier,2500,W/UTIL,NYI,OTT,2.8
Hudson Fasching,2500,W/UTIL,NYI,OTT,1.93
Parker Kelly,2500,W/UTIL,OTT,NYI,4.98
Mark Kastelic,2500,W/UTIL,OTT,NYI,1.22
Samuel Bolduc,2500,D/UTIL,NYI,OTT,1.78
Jacob Bernard-Docker,2500,D/UTIL,OTT,NYI,1.3
Ryan Poehling,2500,C/UTIL,PHI,MIN,1.93
Michael Milne,2500,C/UTIL,MIN,PHI,0.0
Caedan Bankier,2500,C/UTIL,MIN,PHI,0.0
Garnet Hathaway,2500,W/UTIL,PHI,MIN,3.95
Nicolas Deslauriers,2500,W/UTIL,PHI,MIN,2.25
Pat Maroon,2500,W/UTIL,MIN,PHI,6.23
Sam Hentges,2500,W/UTIL,MIN,PHI,0.0
Nick Seeler,2500,D/UTIL,PHI,MIN,4.42
Emil Andrae,2500,D/UTIL,PHI,MIN,2.7
Marc Staal,2500,D/UTIL,PHI,MIN,3.82
Ryan Ellis,2500,D/UTIL,PHI,MIN,0.0
Dakota Mermis,2500,D/UTIL,MIN,PHI,6.4
Jon Merrill,2500,D/UTIL,MIN,PHI,3.6
Daemon Hunt,2500,D/UTIL,MIN,PHI,0.0
Fredrik Olofsson,2500,C/UTIL,COL,PIT,5.25
Jean-Luc Foudy,2500,C/UTIL,COL,PIT,0.0
Noel Acciari,2500,C/UTIL,PIT,COL,3.05
Andrew Cogliano,2500,W/UTIL,COL,PIT,4.92
Kurtis MacDermid,2500,D/UTIL,COL,PIT,0.0
Chris Wagner,2500,W/UTIL,COL,PIT,0.0
Gabriel Landeskog,2500,W/UTIL,COL,PIT,0.0
Radim Zohorna,2500,W/UTIL,PIT,COL,7.25
Drew O'Connor,2500,W/UTIL,PIT,COL,2.8
Jeff Carter,2500,W/UTIL,PIT,COL,1.9
Matt Nieto,2500,W/UTIL,PIT,COL,1.37
Raivis Ansons,2500,W/UTIL,PIT,COL,0.0
Jack Johnson,2500,D/UTIL,COL,PIT,3.2
Corey Schueneman,2500,D/UTIL,COL,PIT,0.0
Ryan Shea,2500,D/UTIL,PIT,COL,2.8
John Ludvig,2500,D/UTIL,PIT,COL,1.5
Pierre-Olivier Joseph,2500,D/UTIL,PIT,COL,2.85
Chad Ruhwedel,2500,D/UTIL,PIT,COL,2.42
Will Butcher,2500,D/UTIL,PIT,COL,0.0
Mark Pysyk,2500,D/UTIL,PIT,COL,0.0
Luke Glendening,2500,C/UTIL,TB,SJ,2.13
Jack Finley,2500,C/UTIL,TB,SJ,0.0
Daniel Walker,2500,C/UTIL,TB,SJ,0.0
Jacob Peterson,2500,C/UTIL,SJ,TB,3.12
Waltteri Merela,2500,W/UTIL,TB,SJ,2.09
Conor Sheary,2500,W/UTIL,TB,SJ,3.6
Logan Brown,2500,W/UTIL,TB,SJ,0.0
Austin Watson,2500,W/UTIL,TB,SJ,0.0
Fabian Zetterlund,2500,W/UTIL,SJ,TB,7.57
Givani Smith,2500,W/UTIL,SJ,TB,4.02
Mitchell Russell,2500,W/UTIL,SJ,TB,0.0
Calvin de Haan,2500,D/UTIL,TB,SJ,2.76
Haydn Fleury,2500,D/UTIL,TB,SJ,0.0
Zach Bogosian,2500,D/UTIL,TB,SJ,1.4
Brent Seabrook,2500,D/UTIL,TB,SJ,0.0
Roman Schmidt,2500,D/UTIL,TB,SJ,0.0
Nikolai Knyzhov,2500,D/UTIL,SJ,TB,3.46
Ty Emberson,2500,D/UTIL,SJ,TB,4.2
Marc-Edouard Vlasic,2500,D/UTIL,SJ,TB,2.05
Jacob MacDonald,2500,D/UTIL,SJ,TB,0.0
Nikita Okhotiuk,2500,D/UTIL,SJ,TB,0.0
