playerName,sal,pos,team,opp,proj
Logan Couture,5900,C/UTIL,SJ,TB,0.0
Bo Horvat,5800,C/UTIL,NYI,OTT,11.22
Vladimir Tarasenko,5800,W/UTIL,OTT,NYI,11.17
Jakob Chychrun,5800,D/UTIL,OTT,NYI,12.42
Artturi Lehkonen,5800,W/UTIL,COL,PIT,14.35
Victor Hedman,5800,D/UTIL,TB,SJ,12.66
Jared McCann,5700,W/UTIL,SEA,CAR,9.66
Chris Kreider,5700,W/UTIL,NYR,EDM,12.93
Brock Nelson,5700,C/UTIL,NYI,OTT,11.98
Kris Letang,5700,D/UTIL,PIT,COL,7.88
Pavel Zacha,5600,C/UTIL,BOS,ANH,5.22
Troy Terry,5600,W/UTIL,ANH,BOS,8.77
Michael Bunting,5600,W/UTIL,CAR,SEA,7.97
Noah Dobson,5600,D/UTIL,NYI,OTT,17.5
Martin Necas,5500,W/UTIL,CAR,SEA,9.54
Josh Norris,5500,C/UTIL,OTT,NYI,15.67
Jake Sanderson,5500,D/UTIL,OTT,NYI,12.53
Rickard Rakell,5500,W/UTIL,PIT,COL,6.92
Nikolaj Ehlers,5400,W/UTIL,WPG,DET,4.38
Moritz Seider,5400,D/UTIL,DET,WPG,11.84
Mathew Barzal,5400,W/UTIL,NYI,OTT,11.9
Tomas Hertl,5400,C/UTIL,SJ,TB,9.33
Miro Heiskanen,5300,D/UTIL,DAL,TOR,11.88
Nick Suzuki,5300,C/UTIL,MON,CLS,6.62
Kirill Marchenko,5300,W/UTIL,CLS,MON,8.62
Drake Batherson,5300,W/UTIL,OTT,NYI,5.93
Pavel Buchnevich,5200,W/UTIL,STL,CGY,6.43
Jonathan Huberdeau,5200,W/UTIL,CGY,STL,7.81
Noah Hanifin,5200,D/UTIL,CGY,STL,8.57
Ryan Hartman,5200,C/UTIL,MIN,PHI,15.0
Mikael Backlund,5100,C/UTIL,CGY,STL,8.96
Evander Kane,5100,W/UTIL,EDM,NYR,7.08
Brandon Hagel,5100,W/UTIL,TB,SJ,11.41
Mikhail Sergachev,5100,D/UTIL,TB,SJ,8.7
Andrew Mangiapane,5000,W/UTIL,CGY,STL,8.54
Matty Beniers,5000,C/UTIL,SEA,CAR,4.71
Thomas Chabot,5000,D/UTIL,OTT,NYI,8.73
Jared Spurgeon,5000,D/UTIL,MIN,PHI,0.0
Bryan Rust,5000,W/UTIL,PIT,COL,14.57
Mason McTavish,4900,C/UTIL,ANH,BOS,9.27
James van Riemsdyk,4900,W/UTIL,BOS,ANH,9.88
Shayne Gostisbehere,4900,D/UTIL,DET,WPG,13.11
MacKenzie Weegar,4800,D/UTIL,CGY,STL,11.97
Jamie Benn,4800,W/UTIL,DAL,TOR,10.0
Vincent Trocheck,4800,C/UTIL,NYR,EDM,4.97
Jacob Trouba,4800,D/UTIL,NYR,EDM,13.42
Brayden Schenn,4700,C/UTIL,STL,CGY,3.88
Morgan Rielly,4700,D/UTIL,TOR,DAL,10.23
Gabriel Vilardi,4700,W/UTIL,WPG,DET,8.03
Ivan Provorov,4700,D/UTIL,CLS,MON,11.82
Valeri Nichushkin,4700,W/UTIL,COL,PIT,9.3
Torey Krug,4600,D/UTIL,STL,CGY,7.28
Tyler Bertuzzi,4600,W/UTIL,TOR,DAL,6.65
Jake Walman,4600,D/UTIL,DET,WPG,9.2
Sean Couturier,4600,C/UTIL,PHI,MIN,8.15
Cam Atkinson,4600,W/UTIL,PHI,MIN,10.78
Bobby Brink,4600,W/UTIL,PHI,MIN,6.34
Matt Coronato,4500,W/UTIL,CGY,STL,4.5
Justin Faulk,4500,D/UTIL,STL,CGY,8.36
Alex Iafallo,4500,W/UTIL,WPG,DET,11.57
Andrew Copp,4500,W/UTIL,DET,WPG,12.7
Scott Laughton,4500,C/UTIL,PHI,MIN,11.47
Devon Toews,4500,D/UTIL,COL,PIT,8.3
Jaccob Slavin,4400,D/UTIL,CAR,SEA,14.84
Darnell Nurse,4400,D/UTIL,EDM,NYR,8.95
J.T. Compher,4400,C/UTIL,DET,WPG,5.97
Kyle Palmieri,4400,W/UTIL,NYI,OTT,10.26
Owen Tippett,4400,W/UTIL,PHI,MIN,8.87
Reilly Smith,4400,W/UTIL,PIT,COL,9.22
Adam Henrique,4300,W/UTIL,ANH,BOS,4.24
Jesperi Kotkaniemi,4300,C/UTIL,CAR,SEA,11.17
Tony DeAngelo,4300,D/UTIL,CAR,SEA,5.91
Vince Dunn,4300,D/UTIL,SEA,CAR,9.34
David Perron,4300,W/UTIL,DET,WPG,7.23
Daniel Sprong,4300,W/UTIL,DET,WPG,8.4
Hampus Lindholm,4200,D/UTIL,BOS,ANH,5.45
Matt Duchene,4200,C/UTIL,DAL,TOR,5.72
Tyler Seguin,4200,W/UTIL,DAL,TOR,6.58
Andre Burakovsky,4200,W/UTIL,SEA,CAR,5.82
Filip Chytil,4200,C/UTIL,NYR,EDM,10.4
Lucas Raymond,4200,W/UTIL,DET,WPG,8.3
Ryan Graves,4200,D/UTIL,PIT,COL,7.48
Ryan Strome,4100,W/UTIL,ANH,BOS,8.55
Cam Fowler,4100,D/UTIL,ANH,BOS,7.38
John Klingberg,4100,D/UTIL,TOR,DAL,6.5
Teuvo Teravainen,4100,C/UTIL,CAR,SEA,8.61
Anders Lee,4100,W/UTIL,NYI,OTT,5.96
Joel Farabee,4100,W/UTIL,PHI,MIN,8.77
Pavel Mintyukov,4000,D/UTIL,ANH,BOS,7.6
Robert Thomas,4000,C/UTIL,STL,CGY,8.44
Jakub Vrana,4000,W/UTIL,STL,CGY,5.8
Mathieu Joseph,4000,W/UTIL,OTT,NYI,11.78
Travis Sanheim,4000,D/UTIL,PHI,MIN,11.38
Calen Addison,4000,D/UTIL,MIN,PHI,5.9
Anthony Duclair,4000,W/UTIL,SJ,TB,3.6
Brandon Saad,3900,W/UTIL,STL,CGY,8.12
Jordan Eberle,3900,W/UTIL,SEA,CAR,6.04
Neal Pionk,3900,D/UTIL,WPG,DET,6.3
Sean Monahan,3900,C/UTIL,MON,CLS,8.67
Jack Roslovic,3900,W/UTIL,CLS,MON,8.6
David Savard,3900,D/UTIL,MON,CLS,8.04
Jonas Brodin,3900,D/UTIL,MIN,PHI,11.05
Mike Hoffman,3900,W/UTIL,SJ,TB,3.73
Matthew Poitras,3800,C/UTIL,BOS,ANH,8.48
Jaden Schwartz,3800,W/UTIL,SEA,CAR,10.53
Eeli Tolvanen,3800,W/UTIL,SEA,CAR,5.64
Kaapo Kakko,3800,W/UTIL,NYR,EDM,4.97
Jeff Petry,3800,D/UTIL,DET,WPG,5.3
Josh Anderson,3800,W/UTIL,MON,CLS,5.23
Adam Pelech,3800,D/UTIL,NYI,OTT,7.04
Ryan Pulock,3800,D/UTIL,NYI,OTT,6.56
Scott Mayfield,3800,D/UTIL,NYI,OTT,11.2
Calle Jarnkrok,3700,W/UTIL,TOR,DAL,5.12
Oliver Bjorkstrand,3700,W/UTIL,SEA,CAR,7.71
Brett Pesce,3700,D/UTIL,CAR,SEA,10.24
Adam Larsson,3700,D/UTIL,SEA,CAR,7.63
Justin Schultz,3700,D/UTIL,SEA,CAR,3.89
Nino Niederreiter,3700,W/UTIL,WPG,DET,5.78
Morgan Frost,3700,C/UTIL,PHI,MIN,2.15
Marcus Johansson,3700,W/UTIL,MIN,PHI,6.32
Rasmus Ristolainen,3700,D/UTIL,PHI,MIN,0.0
Alexander Barabanov,3700,W/UTIL,SJ,TB,2.47
Blake Coleman,3600,W/UTIL,CGY,STL,7.74
Adam Ruzicka,3600,W/UTIL,CGY,STL,5.54
T.J. Brodie,3600,D/UTIL,TOR,DAL,9.85
Mattias Janmark,3600,W/UTIL,EDM,NYR,1.93
Michael Rasmussen,3600,W/UTIL,DET,WPG,6.51
Ben Chiarot,3600,D/UTIL,DET,WPG,7.56
Brock Faber,3600,D/UTIL,MIN,PHI,7.13
Ryan Johansen,3600,C/UTIL,COL,PIT,11.18
Bowen Byram,3600,D/UTIL,COL,PIT,6.42
Alex Barre-Boulet,3600,W/UTIL,TB,SJ,6.1
Kyle Burroughs,3600,D/UTIL,SJ,TB,4.88
Yegor Sharangovich,3500,W/UTIL,CGY,STL,4.26
Colton Parayko,3500,D/UTIL,STL,CGY,8.42
Mark Giordano,3500,D/UTIL,TOR,DAL,9.05
Tye Kartye,3500,W/UTIL,SEA,CAR,7.8
Adam Fantilli,3500,C/UTIL,CLS,MON,8.68
Kent Johnson,3500,W/UTIL,CLS,MON,5.88
Rafael Harvey-Pinard,3500,W/UTIL,MON,CLS,5.27
Jake Bean,3500,D/UTIL,CLS,MON,9.22
Andrew Peeke,3500,D/UTIL,CLS,MON,6.9
Jonathan Drouin,3500,W/UTIL,COL,PIT,2.83
Nicholas Paul,3500,C/UTIL,TB,SJ,10.24
Mario Ferraro,3500,D/UTIL,SJ,TB,12.2
Morgan Geekie,3400,W/UTIL,BOS,ANH,6.7
Kevin Shattenkirk,3400,D/UTIL,BOS,ANH,5.0
Dillon Dube,3400,C/UTIL,CGY,STL,5.53
Wyatt Johnston,3400,C/UTIL,DAL,TOR,12.46
Matthew Knies,3400,W/UTIL,TOR,DAL,6.82
Alexis Lafreniere,3400,W/UTIL,NYR,EDM,6.22
K'Andre Miller,3400,D/UTIL,NYR,EDM,6.43
Robby Fabbri,3400,W/UTIL,DET,WPG,11.5
Tanner Pearson,3400,W/UTIL,MON,CLS,11.25
Damon Severson,3400,D/UTIL,CLS,MON,5.15
Cam York,3400,D/UTIL,PHI,MIN,8.63
Samuel Girard,3400,D/UTIL,COL,PIT,7.12
Brandon Carlo,3300,D/UTIL,BOS,ANH,7.27
Kasperi Kapanen,3300,W/UTIL,STL,CGY,3.76
Max Domi,3300,W/UTIL,TOR,DAL,5.55
Mattias Ekholm,3300,D/UTIL,EDM,NYR,6.16
Mason Appleton,3300,W/UTIL,WPG,DET,7.33
Dylan DeMelo,3300,D/UTIL,WPG,DET,10.35
Alexandre Texier,3300,W/UTIL,CLS,MON,3.12
Erik Gudbranson,3300,D/UTIL,CLS,MON,8.08
Kaiden Guhle,3300,D/UTIL,MON,CLS,11.63
Ridly Greig,3300,C/UTIL,OTT,NYI,8.47
Artem Zub,3300,D/UTIL,OTT,NYI,9.05
Anthony Cirelli,3300,C/UTIL,TB,SJ,6.73
Charlie Coyle,3200,C/UTIL,BOS,ANH,5.58
Leo Carlsson,3200,C/UTIL,ANH,BOS,9.4
Chris Tanev,3200,D/UTIL,CGY,STL,5.81
Ryan Suter,3200,D/UTIL,DAL,TOR,4.96
Jordan Martinook,3200,W/UTIL,CAR,SEA,4.57
Dmitry Orlov,3200,D/UTIL,CAR,SEA,4.9
Dominik Kubalik,3200,W/UTIL,OTT,NYI,1.72
Alexander Romanov,3200,D/UTIL,NYI,OTT,6.68
Sean Walker,3200,D/UTIL,PHI,MIN,9.72
Jake Middleton,3200,D/UTIL,MIN,PHI,10.78
Tomas Tatar,3200,W/UTIL,COL,PIT,4.67
Marcus Pettersson,3200,D/UTIL,PIT,COL,6.05
Tyler Motte,3200,W/UTIL,TB,SJ,1.3
Jakob Silfverberg,3100,W/UTIL,ANH,BOS,4.63
Matt Grzelcyk,3100,D/UTIL,BOS,ANH,3.52
Radko Gudas,3100,D/UTIL,ANH,BOS,4.57
Jamie Drysdale,3100,D/UTIL,ANH,BOS,7.9
Nick Leddy,3100,D/UTIL,STL,CGY,4.74
Jake McCabe,3100,D/UTIL,TOR,DAL,4.45
Esa Lindell,3100,D/UTIL,DAL,TOR,6.16
Warren Foegele,3100,W/UTIL,EDM,NYR,9.05
Alex Newhook,3100,C/UTIL,MON,CLS,8.23
Brendan Gallagher,3100,W/UTIL,MON,CLS,6.67
Travis Hamonic,3100,D/UTIL,OTT,NYI,4.82
Frederick Gaudreau,3100,W/UTIL,MIN,PHI,2.47
Mikael Granlund,3100,C/UTIL,SJ,TB,0.0
Filip Zadina,3100,W/UTIL,SJ,TB,6.7
Jan Rutta,3100,D/UTIL,SJ,TB,6.25
Trent Frederic,3000,W/UTIL,BOS,ANH,7.6
Urho Vaakanainen,3000,D/UTIL,ANH,BOS,1.5
Jackson LaCombe,3000,D/UTIL,ANH,BOS,5.0
Ilya Lyubushkin,3000,D/UTIL,ANH,BOS,7.8
Yanni Gourde,3000,C/UTIL,SEA,CAR,4.93
Stefan Noesen,3000,W/UTIL,CAR,SEA,6.26
Ryan Lindgren,3000,D/UTIL,NYR,EDM,2.2
Erik Gustafsson,3000,D/UTIL,NYR,EDM,9.02
Vladislav Namestnikov,3000,C/UTIL,WPG,DET,7.28
Cole Perfetti,3000,W/UTIL,WPG,DET,7.05
Emil Bemstrom,3000,W/UTIL,CLS,MON,5.52
Justin Danforth,3000,W/UTIL,CLS,MON,8.95
Justin Barron,3000,D/UTIL,MON,CLS,9.83
Noah Cates,3000,C/UTIL,PHI,MIN,6.07
Josh Manson,3000,D/UTIL,COL,PIT,7.45
Erik Cernak,3000,D/UTIL,TB,SJ,2.16
Kevin Hayes,2900,C/UTIL,STL,CGY,2.16
Evgenii Dadonov,2900,W/UTIL,DAL,TOR,3.98
Thomas Harley,2900,D/UTIL,DAL,TOR,7.02
Jordan Staal,2900,C/UTIL,CAR,SEA,6.27
Brady Skjei,2900,D/UTIL,CAR,SEA,9.71
Jamie Oleksiak,2900,D/UTIL,SEA,CAR,7.54
Connor Brown,2900,W/UTIL,EDM,NYR,1.72
Joe Veleno,2900,C/UTIL,DET,WPG,8.24
Juraj Slafkovsky,2900,W/UTIL,MON,CLS,2.98
Pierre Engvall,2900,W/UTIL,NYI,OTT,3.2
Sebastian Aho,2900,D/UTIL,NYI,OTT,4.52
Egor Zamula,2900,D/UTIL,PHI,MIN,10.02
Kevin Labanc,2900,W/UTIL,SJ,TB,3.43
Matt Benning,2900,D/UTIL,SJ,TB,6.18
Nikita Zadorov,2800,D/UTIL,CGY,STL,5.09
Noah Gregor,2800,W/UTIL,TOR,DAL,6.07
Timothy Liljegren,2800,D/UTIL,TOR,DAL,5.68
Brandon Tanev,2800,W/UTIL,SEA,CAR,4.1
Nate Schmidt,2800,D/UTIL,WPG,DET,3.02
Cole Sillinger,2800,C/UTIL,CLS,MON,5.0
Adam Boqvist,2800,D/UTIL,CLS,MON,2.8
Arber Xhekaj,2800,D/UTIL,MON,CLS,4.28
Jean-Gabriel Pageau,2800,C/UTIL,NYI,OTT,6.26
Simon Holmstrom,2800,W/UTIL,NYI,OTT,5.35
Marco Rossi,2800,C/UTIL,MIN,PHI,7.95
Tyson Foerster,2800,W/UTIL,PHI,MIN,3.92
Logan O'Connor,2800,W/UTIL,COL,PIT,8.52
Thomas Bordeleau,2800,C/UTIL,SJ,TB,5.32
William Eklund,2800,W/UTIL,SJ,TB,5.05
Nick Perbix,2800,D/UTIL,TB,SJ,4.47
Darren Raddysh,2800,D/UTIL,TB,SJ,6.39
Bo Groulx,2700,C/UTIL,ANH,BOS,2.02
Max Jones,2700,W/UTIL,ANH,BOS,2.1
Derek Forbort,2700,D/UTIL,BOS,ANH,8.98
Sammy Blais,2700,W/UTIL,STL,CGY,4.16
Mason Marchment,2700,W/UTIL,DAL,TOR,1.8
Nils Lundkvist,2700,D/UTIL,DAL,TOR,2.5
Jack Drury,2700,C/UTIL,CAR,SEA,3.04
Jesper Fast,2700,W/UTIL,CAR,SEA,5.49
Blake Wheeler,2700,W/UTIL,NYR,EDM,2.93
Adam Lowry,2700,C/UTIL,WPG,DET,4.95
Brenden Dillon,2700,D/UTIL,WPG,DET,6.25
Olli Maatta,2700,D/UTIL,DET,WPG,5.62
David Jiricek,2700,D/UTIL,CLS,MON,4.42
Erik Brannstrom,2700,D/UTIL,OTT,NYI,4.3
Alex Goligoski,2700,D/UTIL,MIN,PHI,5.5
Ross Colton,2700,C/UTIL,COL,PIT,6.18
Miles Wood,2700,W/UTIL,COL,PIT,4.85
Luke Kunin,2700,W/UTIL,SJ,TB,3.87
Brett Leason,2600,W/UTIL,ANH,BOS,6.58
Tristan Luneau,2600,D/UTIL,ANH,BOS,1.4
Alexey Toropchenko,2600,W/UTIL,STL,CGY,3.8
Alex Wennberg,2600,C/UTIL,SEA,CAR,5.09
Jalen Chatfield,2600,D/UTIL,CAR,SEA,2.54
Will Borgen,2600,D/UTIL,SEA,CAR,5.51
Brian Dumoulin,2600,D/UTIL,SEA,CAR,3.96
Braden Schneider,2600,D/UTIL,NYR,EDM,4.92
Justin Holl,2600,D/UTIL,DET,WPG,4.55
Sean Kuraly,2600,C/UTIL,CLS,MON,3.82
Johnathan Kovacevic,2600,D/UTIL,MON,CLS,4.17
Jordan Harris,2600,D/UTIL,MON,CLS,2.7
Oliver Wahlstrom,2600,W/UTIL,NYI,OTT,2.25
Connor Dewar,2600,C/UTIL,MIN,PHI,5.47
Marcus Foligno,2600,W/UTIL,MIN,PHI,4.33
Brandon Duhaime,2600,W/UTIL,MIN,PHI,6.85
Vinni Lettieri,2600,W/UTIL,MIN,PHI,1.5
Lars Eller,2600,C/UTIL,PIT,COL,7.25
Nico Sturm,2600,C/UTIL,SJ,TB,3.45
Tanner Jeannot,2600,W/UTIL,TB,SJ,4.73
Michael Eyssimont,2600,W/UTIL,TB,SJ,5.7
John Beecher,2500,C/UTIL,BOS,ANH,3.02
Sam Carrick,2500,C/UTIL,ANH,BOS,2.88
Isac Lundestrom,2500,C/UTIL,ANH,BOS,0.0
Jakub Lauko,2500,W/UTIL,BOS,ANH,1.72
Patrick Brown,2500,W/UTIL,BOS,ANH,1.5
Milan Lucic,2500,W/UTIL,BOS,ANH,3.52
Ross Johnston,2500,W/UTIL,ANH,BOS,2.3
Alex Killorn,2500,W/UTIL,ANH,BOS,0.0
Brock McGinn,2500,W/UTIL,ANH,BOS,0.0
Chase De Leo,2500,W/UTIL,ANH,BOS,0.0
Ian Mitchell,2500,D/UTIL,BOS,ANH,2.5
Robert Hagg,2500,D/UTIL,ANH,BOS,0.0
Oskar Sundqvist,2500,C/UTIL,STL,CGY,3.8
Nikita Alexandrov,2500,C/UTIL,STL,CGY,2.05
Kevin Rooney,2500,C/UTIL,CGY,STL,0.0
Jake Neighbours,2500,W/UTIL,STL,CGY,5.4
Walker Duehr,2500,W/UTIL,CGY,STL,3.9
Dryden Hunt,2500,W/UTIL,CGY,STL,0.0
A.J. Greer,2500,W/UTIL,CGY,STL,2.55
Jakob Pelletier,2500,W/UTIL,CGY,STL,0.0
Tyler Tucker,2500,D/UTIL,STL,CGY,5.06
Marco Scandella,2500,D/UTIL,STL,CGY,2.9
Robert Bortuzzo,2500,D/UTIL,STL,CGY,0.0
Scott Perunovich,2500,D/UTIL,STL,CGY,0.0
Josh Jacobs,2500,D/UTIL,STL,CGY,0.0
Anton Malmstrom,2500,D/UTIL,STL,CGY,0.0
Dennis Gilbert,2500,D/UTIL,CGY,STL,2.45
Jordan Oesterle,2500,D/UTIL,CGY,STL,6.47
Oliver Kylington,2500,D/UTIL,CGY,STL,0.0
David Kampf,2500,C/UTIL,TOR,DAL,2.23
Pontus Holmberg,2500,C/UTIL,TOR,DAL,1.5
Fraser Minten,2500,C/UTIL,TOR,DAL,1.45
Radek Faksa,2500,C/UTIL,DAL,TOR,3.88
Ryan Reaves,2500,W/UTIL,TOR,DAL,0.5
Craig Smith,2500,W/UTIL,DAL,TOR,5.5
Ty Dellandrea,2500,W/UTIL,DAL,TOR,3.67
Sam Steel,2500,W/UTIL,DAL,TOR,4.03
Conor Timmins,2500,D/UTIL,TOR,DAL,0.0
Jani Hakanpaa,2500,D/UTIL,DAL,TOR,4.18
Jerad Rosburg,2500,D/UTIL,DAL,TOR,0.0
Joel Hanley,2500,D/UTIL,DAL,TOR,0.0
Vasily Ponomarev,2500,C/UTIL,CAR,SEA,0.0
Ryan Suzuki,2500,C/UTIL,CAR,SEA,0.0
Pierre-Edouard Bellemare,2500,C/UTIL,SEA,CAR,4.94
Brendan Lemieux,2500,W/UTIL,CAR,SEA,2.42
Kailer Yamamoto,2500,W/UTIL,SEA,CAR,3.8
Devin Shore,2500,W/UTIL,SEA,CAR,2.8
Dylan Coghlan,2500,D/UTIL,CAR,SEA,0.0
Jaycob Megna,2500,D/UTIL,SEA,CAR,0.0
Ryan McLeod,2500,C/UTIL,EDM,NYR,1.43
Derek Ryan,2500,C/UTIL,EDM,NYR,1.43
Nick Bonino,2500,C/UTIL,NYR,EDM,5.68
Dylan Holloway,2500,W/UTIL,EDM,NYR,3.62
Adam Erne,2500,W/UTIL,EDM,NYR,0.75
Philip Broberg,2500,D/UTIL,EDM,NYR,1.98
Brady Stonehouse,2500,W/UTIL,EDM,NYR,0.0
Will Cuylle,2500,W/UTIL,NYR,EDM,2.67
Barclay Goodrow,2500,W/UTIL,NYR,EDM,1.65
Jimmy Vesey,2500,W/UTIL,NYR,EDM,3.72
Tyler Pitlick,2500,W/UTIL,NYR,EDM,2.05
Cody Ceci,2500,D/UTIL,EDM,NYR,2.92
Brett Kulak,2500,D/UTIL,EDM,NYR,4.27
Vincent Desharnais,2500,D/UTIL,EDM,NYR,2.32
Zac Jones,2500,D/UTIL,NYR,EDM,7.3
Rasmus Kupari,2500,C/UTIL,WPG,DET,4.02
Austin Czarnik,2500,C/UTIL,DET,WPG,2.76
Morgan Barron,2500,W/UTIL,WPG,DET,6.07
David Gustafsson,2500,W/UTIL,WPG,DET,5.7
Dominic Toninato,2500,W/UTIL,WPG,DET,0.0
Jonatan Berggren,2500,W/UTIL,DET,WPG,2.25
